knowledge_id,genre_id,knowledge_to_genre
864,22,belong_to
865,22,belong_to
866,22,belong_to
867,22,belong_to
868,22,belong_to
869,22,belong_to
870,22,belong_to
871,22,belong_to
872,22,belong_to
873,22,belong_to
874,22,belong_to
875,11,belong_to
875,22,belong_to
876,22,belong_to
877,22,belong_to
878,22,belong_to
879,11,belong_to
879,22,belong_to
880,22,belong_to
881,22,belong_to
882,22,belong_to
883,22,belong_to
884,22,belong_to
886,11,belong_to
889,11,belong_to
896,11,belong_to
897,11,belong_to
898,11,belong_to
899,11,belong_to
903,11,belong_to
906,11,belong_to
907,11,belong_to
909,11,belong_to
912,11,belong_to
913,11,belong_to
915,11,belong_to
918,11,belong_to
919,11,belong_to
920,11,belong_to
922,11,belong_to
926,11,belong_to
932,11,belong_to
933,11,belong_to
938,11,belong_to
939,11,belong_to
940,11,belong_to
943,11,belong_to
947,11,belong_to
948,11,belong_to
952,11,belong_to
953,11,belong_to
954,11,belong_to
959,11,belong_to
965,11,belong_to
966,11,belong_to
975,11,belong_to
983,11,belong_to
985,11,belong_to
988,11,belong_to
989,11,belong_to
990,11,belong_to
991,11,belong_to
993,11,belong_to
997,11,belong_to
999,11,belong_to
1000,11,belong_to
1001,11,belong_to
1002,11,belong_to
1003,11,belong_to
1005,11,belong_to
1006,11,belong_to
1008,11,belong_to
1010,11,belong_to
1013,11,belong_to
1016,11,belong_to
1017,11,belong_to
1018,11,belong_to
1019,11,belong_to
1020,11,belong_to
1024,11,belong_to
1028,11,belong_to
1029,11,belong_to
1030,11,belong_to
1031,11,belong_to
1033,11,belong_to
1036,11,belong_to
1040,11,belong_to
1041,11,belong_to
1042,11,belong_to
1043,11,belong_to
1048,11,belong_to
1049,11,belong_to
1051,11,belong_to
1052,11,belong_to
1063,11,belong_to
1065,11,belong_to
1070,11,belong_to
1071,11,belong_to
1072,11,belong_to
1076,11,belong_to
1077,11,belong_to
1078,11,belong_to
1080,11,belong_to
1081,11,belong_to
1082,11,belong_to
1085,11,belong_to
1093,11,belong_to
1094,11,belong_to
1096,11,belong_to
1097,11,belong_to
1099,11,belong_to
1100,11,belong_to
1108,11,belong_to
1109,11,belong_to
1110,11,belong_to
1112,11,belong_to
1115,11,belong_to
1116,11,belong_to
1119,11,belong_to
1123,11,belong_to
1128,11,belong_to
1137,11,belong_to
1138,11,belong_to
1139,11,belong_to
1145,11,belong_to
1146,11,belong_to
1147,11,belong_to
1157,11,belong_to
1158,11,belong_to
1165,11,belong_to
1166,11,belong_to
1168,11,belong_to
1170,11,belong_to
1171,11,belong_to
1172,11,belong_to
1173,11,belong_to
1180,11,belong_to
1181,11,belong_to
1184,11,belong_to
1185,11,belong_to
1186,11,belong_to
